sequence,level,property_type,identifier,module,class_term,property_term,association_role,representation_term,associated_module,associated_class,multiplicity,definition,label_local,definition_local,id
774,1,Class,,btx,Detail_ Tax,,,,,,0..*,Business-transactions detail Tax specialization that adds line-level tax regime and exemption semantics without changing the shared core Detail Tax definition.,【業務取引明細税情報】,共通の明細税情報を拡張し、業務取引明細の税制種別及び免税理由を保持する税情報。,BT15
775,2,Attribute,,btx,Detail_ Tax,Tax Authority,,String,,,0..1,Name of the relevant tax authority,課税庁,関係する課税庁の名前。,BT15-01
776,2,Attribute,,btx,Detail_ Tax,Tax Table Code,,String,,,0..1,Tax table code used by the relevant tax authority,税率表コード,関係する課税庁で使用される税率表のコード。,BT15-02
777,2,Attribute,,btx,Detail_ Tax,Tax Description,,String,,,0..1,Description of tax authority,課税庁説明,課税庁の説明。,BT15-03
778,2,Attribute,,btx,Detail_ Tax,Amount of Taxes,,Monetary,,,0..1,Amount of taxes,税額,税額。,BT15-04
779,2,Attribute,,btx,Detail_ Tax,Basis for Taxation,,Monetary,,,0..1,Basis for taxation,課税基準,課税基準。,BT15-05
780,2,Attribute,,btx,Detail_ Tax,Tax Percentage Rate,,Pure,,,0..1,Percent rate for VAT or other taxes normally a number between 0 and 1.0 - e.g. 50% is represented as 0.5,税率,"VAT(物品税)またはその他の税のパーセント比率。_x000D_
0から1.0の間の値。たとえば50%は0.5とあらわす。",BT15-06
781,2,Attribute,,btx,Detail_ Tax,Tax Category,,String,,,0..1,A class or category of taxes,税区分,税のクラス又はカテゴリ。,BT15-07
782,2,Attribute,,btx,Detail_ Tax,Tax Comment/Exemption Reason,,String,,,0..1,Additional text/code for exemption reasons or other comments.,税コメント/免税理由,免税理由やその他のコメントのための、追加の文またはコード。,BT15-08
783,2,Attribute,,btx,Detail_ Tax,Tax Amount in Foreign Currency,,Monetary,,,0..1,"If the tax is in a foreign currency, the amount of tax in that currency",外貨建税額,税が外貨建ての場合の、税額。,BT15-09
784,2,Attribute,,btx,Detail_ Tax,Tax Foreign Currency,,QName,,,0..1,"If the tax is in a foreign currency, that currency",外貨建税額通貨,税が外貨建ての場合の、通貨。,BT15-10
785,2,Attribute,,btx,Detail_ Tax,Tax Exchange Rate Date,,Date Time,,,0..1,"If the tax is in a foreign currency, the date or date and time of the exchange rate used",税額換算レート日付,税が外貨建ての場合の、換算レートの日付または日付/時刻。,BT15-11
786,2,Attribute,,btx,Detail_ Tax,Tax Exchange Rate,,Pure,,,0..1,"If the tax is in a foreign currency, the exchange rate used expressed as national currency divided by foreign currency",税額換算レート,税が外貨建ての場合の、換算レート。自国通貨を外貨で割った値。,BT15-12
787,2,Attribute,,btx,Detail_ Tax,Tax Exchange Rate Source,,String,,,0..1,"If the tax is in a foreign currency, source of exchange rate - for example, Reuters, Bloomberg",税額換算レート情報源,"税が外貨建ての場合の、換算レートの情報源。たとえば、Reuters, Bloomberg",BT15-13
788,2,Attribute,,btx,Detail_ Tax,Tax Exchange Rate Type,,String,,,0..1,"If the tax is in a foreign currency, type of exchange rate - for example, spot rate, forward contract etc.",税額換算レート種別,税が外貨建ての場合の、換算レートの種別。たとえば、スポット・レート、先物など。,BT15-14
789,2,Attribute,,btx,Detail_ Tax,Tax Exchange Rate Comment,,String,,,0..1,"If the tax is in a foreign currency, comment about exchange rate used",税額換算レートコメント,税が外貨建ての場合の、換算レートに関するコメント。,BT15-15
790,2,Attribute,,btx,Detail_ Tax,Tax Amount in Triangulation Currency,,Monetary,,,0..1,"If the tax is in a foreign currency and triangulation is used, the amount of that tax in the triangulation currency",税額トライアンギュレーション通貨換算額,税が外貨建てで、トライアンギュレーション取引の場合の、トライアンギュレーション通貨での税額。,BT15-16
791,2,Attribute,,btx,Detail_ Tax,Tax Triangulation Currency,,QName,,,0..1,"If the tax is in a foreign currency and triangulation is used, the triangulation currency",税額換算トライアンギュレーション通貨,税が外貨建てで、トライアンギュレーション取引の場合の、トライアンギュレーション通貨。,BT15-17
792,2,Attribute,,btx,Detail_ Tax,Tax Triangulation Currency Exchange Rate,,Pure,,,0..1,"If the tax is in a foreign currency and triangulation is used, the exchange rate used expressed as national currency divided by triangulation currency",税額トライアンギュレーション通貨換算レート,税が外貨建てで、トライアンギュレーション取引の場合の、換算レート。自国通貨をトライアンギュレーション通貨で割った値。,BT15-18
793,2,Attribute,,btx,Detail_ Tax,Tax Triangulation Currency Exchange Rate Source,,String,,,0..1,"If the tax is in a foreign currency and triangulation is used, source of exchange rate - for example, Reuters, Bloomberg",税額トライアンギュレーション通貨換算レート情報源,"税が外貨建てで、トライアンギュレーション取引の場合の、換算レートの情報源。たとえば、Reuters, Bloomberg",BT15-19
794,2,Attribute,,btx,Detail_ Tax,Tax Triangulation Currency Exchange Rate Type,,String,,,0..1,"If the tax is in a foreign currency and triangulation is used, type of exchange rate - for example, spot rate, forward contract etc.",税額トライアンギュレーション通貨換算レート種別,税が外貨建てで、トライアンギュレーション取引の場合の、換算レートの種別。たとえば、スポット・レート、先物など,BT15-20
795,2,Attribute,,btx,Detail_ Tax,Tax Foreign to Triangulation Currency Exchange Rate,,Pure,,,0..1,"If the tax is in a foreign currency and triangulation is used,  the exchange rate used expressed as foreign currency divided by triangulation currency",税額外貨トライアンギュレーション通貨換算レート,税が外貨建てで、トライアンギュレーション取引の場合の、換算レート。外貨をトライアンギュレーション通貨で割った値。,BT15-21
796,2,Attribute,,btx,Detail_ Tax,Tax Foreign to Triangulation Currency Exchange Rate Source,,String,,,0..1,"If the tax is in a foreign currency and triangulation is used, source of exchange rate - for example, Reuters, Bloomberg",税額外貨トライアンギュレーション通貨換算レート情報源,"税が外貨建てで、トライアンギュレーション取引の場合の、換算レートの情報源。たとえば、Reuters, Bloomberg",BT15-22
797,2,Attribute,,btx,Detail_ Tax,Tax Foreign to Triangulation Currency Exchange Rate Type,,String,,,0..1,"If the tax is in a foreign currency and triangulation is used, type of exchange rate - for example, spot rate, forward contract etc.",税額外貨トライアンギュレーション通貨換算レート種別,税が外貨建てで、トライアンギュレーション取引の場合の、換算レートの種別。たとえば、スポット・レート、先物など。,BT15-23
798,2,Attribute,,btx,Detail_ Tax,Tax Type,,Token,,,0..1,"Type of tax regime or tax family applicable to this detail tax occurrence, distinct from its tax category.",明細税種別,この明細税出現に適用される税制又は税体系の種別。税区分とは異なる。,BT15-24
799,2,Attribute,,btx,Detail_ Tax,Tax Exemption Reason Code,,Token,,,0..1,Code identifying the exemption reason for this detail tax occurrence.,明細免税理由コード,この明細税出現の免税理由を識別するコード。,BT15-25
800,2,Attribute,,btx,Detail_ Tax,Tax Exemption Reason Text,,String,,,0..1,Human-readable text describing the exemption reason for this detail tax occurrence.,明細免税理由テキスト,この明細税出現の免税理由を説明する可読テキスト。,BT15-26
801,1,Class,,btx,Document Attachment,,,,,,0..*,"Attachment payload or external location and its metadata, maintained as one repeatable document-attachment occurrence.",【文書添付】,添付内容又は外部所在とそのメタデータを一つの反復可能な文書添付出現として保持する構造。,BT16
802,2,Attribute,,btx,Document Attachment,Binary Content,,Base64Binary,,,0..1,Binary attachment content encoded as base64.,バイナリ内容,Base64で符号化された添付文書のバイナリ内容。,BT16-01
803,2,Attribute,,btx,Document Attachment,MIME Type,,Token,,,0..1,MIME media type of the attached content.,MIME種別,添付内容のMIMEメディア種別。,BT16-02
804,2,Attribute,,btx,Document Attachment,File Name,,String,,,0..1,File name associated with the attached content.,ファイル名,添付内容に関連付けられたファイル名。,BT16-03
